source,dest,month_code,qty,Unnamed: 4,Unnamed: 5,month
NDC_Changshu,RDC_Chongqing,Period_001,9691,,,1
NDC_Changshu,RDC_Chongqing,Period_007,9555,,,7
NDC_Changshu,RDC_Suzhou,Period_006,9498,,,6
NDC_Changshu,RDC_Nanyang,Period_006,9395,,,6
NDC_Changshu,RDC_Tangshan,Period_005,9375,,,5
NDC_Changshu,RDC_Huhehaote,Period_007,9354,,,7
NDC_Changshu,RDC_Meishan,Period_007,9297,,,7
NDC_Changshu,RDC_Huaian,Period_005,9270,,,5
NDC_Changshu,RDC_Wuhan,Period_006,9155,,,6
NDC_Changshu,RDC_Handan,Period_005,9110,,,5
NDC_Changshu,RDC_Zhuzhou,Period_008,9104,,,8
NDC_Changshu,RDC_Suzhou,Period_005,9020,,,5
NDC_Changshu,RDC_Xian2,Period_006,8708,,,6
NDC_Changshu,RDC_Baoding,Period_006,8694,,,6
NDC_Changshu,RDC_Puyang,Period_005,8670,,,5
NDC_Changshu,RDC_Linyi,Period_008,8595,,,8
NDC_Changshu,RDC_Maanshan,Period_006,8484,,,6
NDC_Changshu,RDC_Jingmen,Period_011,8382,,,11
NDC_Changshu,RDC_Kunming,Period_007,8232,,,7
NDC_Changshu,RDC_Chongqing,Period_008,8140,,,8
NDC_Changshu,RDC_Nanyang,Period_009,8071,,,9
NDC_Changshu,RDC_Yangzhou,Period_006,8004,,,6
NDC_Changshu,RDC_Nanjing,Period_005,7940,,,5
NDC_Changshu,RDC_Ningde,Period_006,7850,,,6
NDC_Changshu,RDC_Nanyang,Period_001,7835,,,1
NDC_Changshu,RDC_Dalian,Period_005,7576,,,5
NDC_Changshu,RDC_Chengdu,Period_005,7550,,,5
NDC_Changshu,RDC_Jiaozuo,Period_006,7473,,,6
NDC_Changshu,RDC_Kunming,Period_008,7385,,,8
NDC_Changshu,RDC_Puyang,Period_001,7310,,,1
NDC_Changshu,RDC_Hefei1,Period_008,7250,,,8
NDC_Changshu,RDC_Jingmen,Period_008,7106,,,8
NDC_Changshu,RDC_Nanyang,Period_008,7055,,,8
NDC_Changshu,RDC_Guiyang,Period_007,7035,,,7
NDC_Changshu,RDC_Ningde,Period_008,6895,,,8
NDC_Changshu,RDC_Weifang,Period_005,6640,,,5
NDC_Changshu,RDC_Guiyang,Period_008,6515,,,8
NDC_Changshu,RDC_Mianyang,Period_005,6380,,,5
NDC_Changshu,RDC_Linyi,Period_007,6309,,,7
NDC_Changshu,RDC_Taizhou,Period_008,6260,,,8
NDC_Changshu,RDC_Baoding,Period_005,6100,,,5
NDC_Changshu,RDC_Yangzhou,Period_007,5685,,,7
NDC_Changshu,RDC_Jinzhou,Period_005,5660,,,5
NDC_Changshu,RDC_Haerbin,Period_005,5290,,,5
NDC_Changshu,RDC_Jingmen,Period_010,5228,,,10
NDC_Changshu,RDC_Jiaozuo,Period_007,5219,,,7
NDC_Changshu,RDC_Wuhan,Period_007,5179,,,7
NDC_Changshu,RDC_Chongqing,Period_006,5160,,,6
NDC_Changshu,RDC_Yangzhou,Period_005,5070,,,5
NDC_Changshu,RDC_Xiangfan,Period_005,4960,,,5
NDC_Changshu,RDC_Jiaozuo,Period_008,4420,,,8
NDC_Changshu,RDC_Jiaozuo,Period_001,4060,,,1
NDC_Changshu,RDC_Guiyang,Period_006,3740,,,6
NDC_Changshu,RDC_Jingmen,Period_007,3642,,,7
NDC_Changshu,RDC_Linyi,Period_006,3620,,,6
NDC_Changshu,RDC_Wuxi,Period_005,3400,,,5
NDC_Changshu,RDC_Ningde,Period_010,3312,,,10
NDC_Changshu,RDC_Hefei2,Period_005,3100,,,5
NDC_Changshu,RDC_Guiyang,Period_005,3020,,,5
NDC_Changshu,RDC_Ningde,Period_001,2706,,,1
NDC_Changshu,RDC_Linyi,Period_001,2450,,,1
NDC_Changshu,RDC_Chongqing,Period_005,2290,,,5
NDC_Changshu,RDC_Changsha,Period_004,1827,,,4
NDC_Changshu,RDC_Changsha,Period_005,1679,,,5
NDC_Changshu,RDC_Jingmen,Period_001,1295,,,1
NDC_Changshu,RDC_Jinzhou,Period_001,868,,,1
